Crop,HIMin,HIMax
GB,0.047,0.571
SB,0.09,0.578
SC,0.04,0.496
SP,0.03,0.57
SW,0.08,0.602
WB,0.09,0.694
WC,0.04,0.41
WL,0.06,0.51
WP,0.109,0.54
WT,0.279,0.507
WW,0.08,0.641
