Source,CreationDate,Author,LastSaved,LastSavedBy,BarcodeFinal,LabelPrefix,Crop,FieldStrip,ID2,Col-Row2,Col,Row2,ShoudKeep,isResidue,TotalGrain(g)+bag,TareBag(g),TotalGrain(g),Tota Biomass(g)+bag,TareBag(g),TotalBiomass(g),protein,moisture,starch,gluten,testWeight,tareWtSampleBag(g),NOTES,Notes2,Notes3
??\Cook Farm GP HY2014 Field B C4 WW Bag Labels.xlsx,41856.34514,Rachel Unger,41871.46667,Covered Storage,CF14GPWW_6_11-A,CF14GPWW,WW,,6,11-A,11,A,0,,,,779,,,1456,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_6_11-A,CF14GPWW,WW,,6,11-A,11,A,1,,797,19,778,,,,12.5,9.1,67.7,33.6,49.7,,,,
??\Cook Farm GP HY2014 Field B C4 WW Bag Labels.xlsx,41856.34514,Rachel Unger,41871.46667,Covered Storage,CF14GPWW_7_12-A,CF14GPWW,WW,,7,12-A,12,A,0,,,,786,,,1466,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_7_12-A,CF14GPWW,WW,,7,12-A,12,A,1,,806,19,787,,,,11.8,8.9,70.4,30.8,50.6,,,,
??\Cook Farm GP HY2014 Field B C4 WW Bag Labels.xlsx,41856.34514,Rachel Unger,41871.46667,Covered Storage,CF14GPWW_8_13-A,CF14GPWW,WW,,8,13-A,13,A,0,,,,983,,,1841,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_8_13-A,CF14GPWW,WW,,8,13-A,13,A,1,,1011,19,992,,,,11.9,9.3,66.7,32,44.5,,,,
??\Cook Farm GP HY2014 Field B C4 WW Bag Labels.xlsx,41856.34514,Rachel Unger,41871.46667,Covered Storage,CF14GPWW_9_14-A,CF14GPWW,WW,,9,14-A,14,A,0,,,,756,,,1831,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_9_14-A,CF14GPWW,WW,,9,14-A,14,A,1,,777,19,758,,,,12,8.8,70,32,51.3,,,,
??\Cook Farm GP HY2014 Field B C4 WW Bag Labels.xlsx,41856.34514,Rachel Unger,41871.46667,Covered Storage,CF14GPWW_10_15-A,CF14GPWW,WW,,10,15-A,15,A,0,,,,1075,,,1947,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_10_15-A,CF14GPWW,WW,,10,15-A,15,A,1,,1096,19,1077,,,,11.7,8.9,70.4,31.3,48.8,,,,
