"Column","Row2","SampleID","Crop","GrainWeight","Protein","Moisture","Starch","WGlutDM","TestWeight","ID2","Logitude","Latitude","ResidueWeight","Notes","Year","FieldID"
19,"B","GPHY14_GB_C2_36_19-B","GB",564,,,,,,36,-117.08140584,46.77900737,1015," |  | ",2014,"CookEast"
20,"B","GPHY14_SB_C3_37_20-B","SB",377,14.5,12.2,58.5,,42.6,37,-117.080958,46.778993,," |  | ",2014,"CookEast"
21,"B","CF14GPWW_37_21-B","WW",892,11.5,8.2,71.3,31.4,53.8,38,-117.08054,46.778849,1413," |  | ",2014,"CookEast"
22,"B","CF14GPWW_38_22-B","WW",630,10.3,8.3,73.9,28,55.7,39,-117.080122,46.779112,1550," |  | ",2014,"CookEast"
23,"B","CF14GPSWGrn_C5_40_23-B","SW",128,,,,,,40,-117.079704,46.779083,,"SAMPLE TOO SMALL, MUST BE GROUND AND ANALYZED |  | ",2014,"CookEast"
24,"B","CF14GPSWGrn_C6_41_24-B","SW",827,11.6,6.9,73.5,27.2,57.7,41,-117.079286,46.779047,,"MOISTURE OUTSIDE LIMITS |  | ORIGINAL SAMPLE BAG DAMAGED",2014,"CookEast"
2,"C","GPHY14_GB_A1_42_2-C","GB",331,,,,,,42,-117.08870619,46.77911338,1030," |  | ",2014,"CookEast"
3,"C","GPHY14_GB_A1_43_3-C","GB",539,,,,,,43,-117.088318,46.779153,1247," |  | ",2014,"CookEast"
4,"C","GPHY14_GB_A2_44_4-C","GB",154,,,,,,44,-117.0879,46.779128,356," |  | ",2014,"CookEast"
5,"C","GPHY14_GB_A3_45_5-C","GB",293,,,,,,45,-117.08746351,46.77928833,626," |  | ",2014,"CookEast"
6,"C","GPHY14_GB_A3_46_6-C","GB",143,,,,,,46,-117.087064,46.779278,472,"MOUSE DAMAGE |  | ",2014,"CookEast"
7,"C","GPHY14_GB_A4_47_7-C","GB",308,,,,,,47,-117.086646,46.779363,790," |  | ",2014,"CookEast"
8,"C","CF14GPSWGrn_A5_48_8-C","SW",1036,11,7,69.4,25.2,53.8,48,-117.086228,46.779333,,"MOISTURE OUTSIDE LIMITS |  | ",2014,"CookEast"
9,"C","CF14GPSWGrn_A6_49_9-C","SW",999,10,7.3,75.7,24.3,60,49,-117.08581,46.779238,," | STARCH OUTSIDE LIMITS | ",2014,"CookEast"
10,"C","CF14GPWW_49_10-C","WW",875,11.7,7.9,69.1,31.3,43.4,50,-117.08533553,46.77932123,1501," |  | ",2014,"CookEast"
11,"C","CF14GPWW_50_11-C","WW",,,,,,,51,-117.08496351,46.77919681,," |  | ",2014,"CookEast"
12,"C","CF14GPWW_51_12-C","WW",1065,11.8,8.5,68.2,31.2,48.5,52,-117.084556,46.779293,1789," |  | ",2014,"CookEast"
13,"C","CF14GPWW_52_13-C","WW",1494,10.3,8.9,72.1,27.8,53,53,-117.084138,46.779246,2559," |  | ",2014,"CookEast"
