Source,CreationDate,Author,LastSaved,LastSavedBy,BarcodeFinal,LabelPrefix,Crop,FieldStrip,ID2.x,Col.Row2,Column,Row2,ShoudKeep,isResidue,TotalGrain.g..bag,TareBag.g.,TotalGrain.g.,Tota.Biomass.g..bag,TareBag.g..1,TotalBiomass.g.,protein,moisture,starch,gluten,testWeight,tareWtSampleBag.g.,NOTES,Notes2,Notes3,X,Y,ID2
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_15_22-A,CF14GPWW,WW,"",15,22-A,22,A,1,"",1328,20,1308,,,,12.2,8.5,71.6,33,55.8,,"","","",-117.080408,46.778826,16
,,,,,,,,,,,23,A,,,,,,,,,,,,,,,,,,-117.07999,46.778797,17
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_18_1-B,GPHY14,GB,A1,18,1-B,1,B,1,"",272,20,252,,,,,,,,,,"","","",-117.08888012,46.77895174,18
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_19_2-B,GPHY14,GB,A2,19,2-B,2,B,1,"",311,20,291,,,,,,,,,,"","","",-117.08846626,46.77882662,19
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_20_3-B,GPHY14,GB,A2,20,3-B,3,B,1,"",241,20,221,,,,,,,,,,"","","",-117.088064,46.778867,20
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_21_4-B,GPHY14,GB,A3,21,4-B,4,B,1,"",507,20,487,,,,,,,,,,"","","",-117.087646,46.778842,21
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_22_5-B,GPHY14,GB,A4,22,5-B,5,B,1,"",293,20,273,,,,,,,,,,"","","",-117.087228,46.779015,22
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_23_6-B,GPHY14,GB,A4,23,6-B,6,B,1,"",235,35,200,,,,,,,,,,MOUSE DAMAGE TO ORIGINAL BAG,"","",-117.08683097,46.77900278,23
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A5_24_7-B,CF14GPSWGrn,SW,A5,24,7-B,7,B,1,"",548,20,528,,,,12.3,7,66.9,29.3,53.8,,MOISTURE OUTSIDE LIMITS,"","",-117.086392,46.779077,24
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A6_25_8-B,CF14GPSWGrn,SW,A6,25,8-B,8,B,1,"",857,20,837,,,,10.6,6.6,74.2,24.1,58.6,,MOISTURE OUTSIDE LIMITS,STARCH OUTSIDE LIMITS,"",-117.085974,46.779047,25
