HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,ResidueMassDryPerArea,Comments
2014,GB,GPHY14_GB_A4_1_5-A,-117.087514,46.778729,1,13.5,,,,,291.5,TOTAL SAMPLE GROUND |  | 
2014,SW,CF14GPSWGrn_A5_2_6-A,-117.08706455,46.77869163,2,352,13.4,6,64.3,33.1,,MOISTURE OUTSIDE LIMITS |  | 
2014,SW,CF14GPSWGrn_A5_3_7-A,-117.086678,46.778791,3,219,11.7,6.8,68,26.3,,MOISTURE OUTSIDE LIMITS |  | 
2014,SW,CF14GPSWGrn_A6_4_8-A,-117.08626,46.778761,4,339,11,6.2,69.1,24.6,,MOISTURE OUTSIDE LIMITS |  | 
2014,WW,CF14GPWW_4_9-A,-117.085842,46.778666,5,508.5,11.2,8.9,68.3,29.9,330.5, |  | 
2014,WW,CF14GPWW_5_10-A,-117.08541875,46.77877321,6,,,,,,, |  | 
2014,WW,CF14GPWW_6_11-A,-117.085006,46.778632,7,389,12.5,9.1,67.7,33.6,339, |  | 
2014,WW,CF14GPWW_7_12-A,-117.084588,46.778721,8,393.5,11.8,8.9,70.4,30.8,339.5, |  | 
2014,WW,CF14GPWW_8_13-A,-117.08417,46.778674,9,496,11.9,9.3,66.7,32,424.5, |  | 
2014,WW,CF14GPWW_9_14-A,-117.083752,46.778737,10,379,12,8.8,70,32,536.5, |  | 
2014,WW,CF14GPWW_10_15-A,-117.083334,46.778658,11,538.5,11.7,8.9,70.4,31.3,435, |  | 
2014,WW,CF14GPWW_11_16-A,-117.08293984,46.77873108,12,559,10.2,8.5,72.9,26.8,413, |  | 
2014,SW,CF14GPSWGrn_C1_13_17-A,-117.082498,46.778764,13,256,11.8,6.5,70.5,25.9,,MOISTURE OUTSIDE LIMITS |  | ORIGINAL SAMPLE BAG RIPPED
2014,SB,GPHY14_SB_C3_14_19-A,-117.08163216,46.77868863,14,345,9.9,11.3,61.9,,, |  | 
2014,SB,GPHY14_SB_C3_15_20-A,-117.081244,46.778707,15,337,12.5,11.5,62.5,,, |  | 
2014,WW,CF14GPWW_15_22-A,-117.080408,46.778826,16,654,12.2,8.5,71.6,33,27, |  | 
2014,,,-117.07999,46.778797,17,,,,,,,NA | NA | NA
2014,GB,GPHY14_GB_A1_18_1-B,-117.08888012,46.77895174,18,126,,,,,480, |  | 
2014,GB,GPHY14_GB_A2_19_2-B,-117.08846626,46.77882662,19,145.5,,,,,173, |  | 
2014,GB,GPHY14_GB_A2_20_3-B,-117.088064,46.778867,20,110.5,,,,,172.5, |  | 
2014,GB,GPHY14_GB_A3_21_4-B,-117.087646,46.778842,21,243.5,,,,,295, |  | 
2014,GB,GPHY14_GB_A4_22_5-B,-117.087228,46.779015,22,136.5,,,,,242.5, |  | 
2014,GB,GPHY14_GB_A4_23_6-B,-117.08683097,46.77900278,23,100,,,,,324,MOUSE DAMAGE TO ORIGINAL BAG |  | 
2014,SW,CF14GPSWGrn_A5_24_7-B,-117.086392,46.779077,24,264,12.3,7,66.9,29.3,,MOISTURE OUTSIDE LIMITS |  | 
2014,SW,CF14GPSWGrn_A6_25_8-B,-117.085974,46.779047,25,418.5,10.6,6.6,74.2,24.1,,MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | 
2014,WW,CF14GPWW_25_9-B,-117.085556,46.778952,26,554,9.3,9.5,67.6,24.3,507.5,Starch outside limits |  | 
2014,WW,CF14GPWW_26_10-B,-117.08511704,46.77906282,27,604,9.8,8.9,70.1,25.7,434.5, |  | 
2014,WW,CF14GPWW_27_11-B,-117.08472,46.778918,28,721.5,10.8,9,72.3,29.1,557, |  | 
2014,WW,CF14GPWW_28_12-B,-117.084302,46.779007,29,454.5,9.7,8.3,74,24.8,425,Starch outside limits |  | 
2014,WW,CF14GPWW_29_13-B,-117.083884,46.77896,30,536.5,10.8,7.9,73.9,28.8,919, |  | 
2014,WW,CF14GPWW_30_14-B,-117.083466,46.779023,31,515.5,10.3,8.1,73.4,27.4,510, |  | 
2014,WW,CF14GPWW_31_15-B,-117.083048,46.778944,32,669.5,10.2,8.1,72.2,26.1,964, |  | 
2014,WW,CF14GPWW_32_16-B,-117.08263,46.779013,33,411,12.1,8.2,65.2,31.5,478.5, |  | 
2014,SW,CF14GPSWGrn_C1_34_17-B,-117.082212,46.77905,34,351.5,11,6.5,72.5,24.4,,MOISTURE OUTSIDE LIMITS |  | 
2014,GB,GPHY14_GB_C2_35_18-B,-117.081794,46.778852,35,170.5,,,,,, |  | 
2014,GB,GPHY14_GB_C2_36_19-B,-117.08140584,46.77900737,36,282,,,,,225.5, |  | 
2014,SB,GPHY14_SB_C3_37_20-B,-117.080958,46.778993,37,188.5,14.5,12.2,58.5,,, |  | 
2014,WW,CF14GPWW_37_21-B,-117.08054,46.778849,38,446,11.5,8.2,71.3,31.4,260.5, |  | 
2014,WW,CF14GPWW_38_22-B,-117.080122,46.779112,39,315,10.3,8.3,73.9,28,460, |  | 
2014,SW,CF14GPSWGrn_C5_40_23-B,-117.079704,46.779083,40,64,,,,,,"SAMPLE TOO SMALL, MUST BE GROUND AND ANALYZED |  | "
2014,SW,CF14GPSWGrn_C6_41_24-B,-117.079286,46.779047,41,413.5,11.6,6.9,73.5,27.2,,MOISTURE OUTSIDE LIMITS |  | ORIGINAL SAMPLE BAG DAMAGED
2014,GB,GPHY14_GB_A1_42_2-C,-117.08870619,46.77911338,42,165.5,,,,,349.5, |  | 
2014,GB,GPHY14_GB_A1_43_3-C,-117.088318,46.779153,43,269.5,,,,,354, |  | 
2014,GB,GPHY14_GB_A2_44_4-C,-117.0879,46.779128,44,77,,,,,101, |  | 
2014,GB,GPHY14_GB_A3_45_5-C,-117.08746351,46.77928833,45,146.5,,,,,166.5, |  | 
2014,GB,GPHY14_GB_A3_46_6-C,-117.087064,46.779278,46,71.5,,,,,164.5,MOUSE DAMAGE |  | 
2014,GB,GPHY14_GB_A4_47_7-C,-117.086646,46.779363,47,154,,,,,241, |  | 
2014,SW,CF14GPSWGrn_A5_48_8-C,-117.086228,46.779333,48,518,11,7,69.4,25.2,,MOISTURE OUTSIDE LIMITS |  | 
2014,SW,CF14GPSWGrn_A6_49_9-C,-117.08581,46.779238,49,499.5,10,7.3,75.7,24.3,, | STARCH OUTSIDE LIMITS | 
2014,WW,CF14GPWW_49_10-C,-117.08533553,46.77932123,50,437.5,11.7,7.9,69.1,31.3,313, |  | 
2014,WW,CF14GPWW_50_11-C,-117.08496351,46.77919681,51,,,,,,, |  | 
2014,WW,CF14GPWW_51_12-C,-117.084556,46.779293,52,532.5,11.8,8.5,68.2,31.2,362, |  | 
2014,WW,CF14GPWW_52_13-C,-117.084138,46.779246,53,747,10.3,8.9,72.1,27.8,532.5, |  | 
2014,WW,CF14GPWW_53_14-C,-117.08372,46.779309,54,379.5,13.7,9.2,62.5,37,366, |  | 
2014,WW,CF14GPWW_54_15-C,-117.083302,46.77923,55,573.5,10.3,8.4,74.7,27.4,371.5, |  | 
2014,WW,CF14GPWW_55_16-C,-117.08290191,46.77931128,56,501.5,11.9,8.3,70.4,31.4,513, |  | 
2014,WW,CF14GPWW_56_17-C,-117.082466,46.779336,57,557,10.3,8.7,74.4,27.1,411, |  | 
2014,SW,CF14GPSWGrn_C1_58_18-C,-117.082048,46.779138,58,350.5,11.1,7,73.4,25.6,,MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | 
2014,GB,GPHY14_GB_C2_59_19-C,-117.08160015,46.77925244,59,247.5,,,,,183, |  | 
2014,GB,GPHY14_GB_C2_6_20-C,-117.081212,46.779279,60,248.5,,,,,238.5, |  | 
2014,SB,GPHY14_SB_C3_61_21-C,-117.080794,46.779135,61,420.5,9.3,12.2,64.3,,, |  | 
2014,SB,GPHY14_SB_C3_62_22-C,-117.08039988,46.77941847,62,544.5,11.6,12.6,62.8,,, |  | 
2014,WW,CF14GPWW_62_23-C,-117.079958,46.779369,63,527.5,12.7,8.6,69.6,34.9,375, |  | 
2014,SW,CF14GPSWGrn_C5_64_24-C,-117.07954,46.779333,64,349.5,9.2,7.1,74.5,21.4,, | STARCH OUTSIDE LIMITS | 
2014,SW,CF14GPSWGrn_C6_65_25-C,-117.079122,46.779254,65,576,8.7,7.2,77.7,20.2,,MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | 
2014,SW,CF14GPSWGrn_C6_66_26-C,-117.07873385,46.77928646,66,399.5,12.4,6.7,67.7,26.9,,MOISTURE OUTSIDE LIMITS |  | ORIGINAL SAMPLE BAG RIPPED
2014,SW,CF14GPSWGrn_C7_67_27-C,-117.078286,46.779271,67,384,12.6,6.9,67.2,28.4,,MOISTURE OUTSIDE LIMITS |  | 
2014,GB,GPHY14_GB_A1_68_3-D,-117.088231,46.779439000000004,68,172,,,,,199.5, |  | 
2014,GB,GPHY14_GB_A2_69_4-D,-117.087813,46.779414,69,151,,,,,216.5, |  | 
2014,GB,GPHY14_GB_A2_70_5-D,-117.087395,46.779587,70,115,,,,,, |  | 
2014,GB,GPHY14_GB_A3_71_6-D,-117.086977,46.779564,71,111.5,,,,,177, |  | 
2014,GB,GPHY14_GB_A4_72_7-D,-117.086559,46.779649,72,214.5,,,,,332, |  | 
2014,GB,GPHY14_GB_A4_73_8-D,-117.08617246,46.77963697,73,173,,,,,349.5,MOUSE DAMAGE TO ORIGINAL BAG |  | 
2014,SW,CF14GPSWGrn_A6_74_9-D,-117.08569155,46.77950963,74,602.5,9.1,7.4,74.6,21.5,, | STARCH OUTSIDE LIMITS | 
2014,SW,CF14GPSWGrn_A6_75_10-D,-117.085305,46.779642,75,495.5,8.7,8,76.3,20.8,, | STARCH OUTSIDE LIMITS | 
2014,WW,CF14GPWW_75_11-D,-117.084887,46.77949,76,666,10.1,9,72.6,26.4,1046, |  | 
2014,WW,CF14GPWW_76_12-D,-117.084469,46.779579,77,559.5,11.5,9.3,72.4,30.6,393, |  | 
2014,WW,CF14GPWW_77_13-D,-117.084051,46.779532,78,433.5,12,8.8,68.8,32.1,797, |  | 
2014,WW,CF14GPWW_78_14-D,-117.083633,46.779595,79,403.5,11.4,9.1,71.5,30.5,355, |  | 
2014,WW,CF14GPWW_79_15-D,-117.083215,46.779516,80,397,12.1,9,67,31.7,369, |  | 
2014,WW,CF14GPWW_80_16-D,-117.082797,46.779585,81,532,9.1,8.1,72.6,22.7,401.5,Starch outside limits |  | 
2014,WW,CF14GPWW_81_17-D,-117.082379,46.779622,82,495,10.1,8.2,74.6,26.6,360,Starch outside limits |  | 
2014,SW,CF14GPSWGrn_C1_83_18-D,-117.081961,46.779424,83,308.5,11.7,7.3,71.3,27.7,, |  | 
2014,SW,CF14GPSWGrn_C1_84_19-D,-117.081543,46.779563,84,378.5,11.6,6.5,71.7,26.5,,MOISTURE OUTSIDE LIMITS |  | 
2014,GB,GPHY14_GB_C2_85_20-D,-117.081125,46.779565,85,220.5,,,,,184.5, |  | 
2014,SB,GPHY14_SB_C3_86_21-D,-117.080707,46.779421,86,549.5,12.6,10.8,62.5,,, |  | 
2014,SB,GPHY14_SB_C3_87_22-D,-117.080289,46.779684,87,425.5,11.5,11.5,62.9,,, |  | 
2014,WW,CF14GPWW_87_23-D,-117.079871,46.779655,88,449.5,12.3,7.9,71.2,33.5,282, |  | 
2014,SW,CF14GPSWGrn_C5_89_24-D,-117.07944702,46.77960671,89,397,11.5,6.8,71.4,24.9,,MOISTURE OUTSIDE LIMITS |  | 
2014,SW,CF14GPSWGrn_C5_90_25-D,-117.079035,46.77954,90,425.5,8.8,6.7,75.4,20.2,,MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ORIGINAL SAMPLE BAG RIPPED
2014,SW,CF14GPSWGrn_C6_91_26-D,-117.078617,46.779552,91,378.5,11.4,6.7,70,24.2,,MOISTURE OUTSIDE LIMITS |  | 
2014,SW,CF14GPSWGrn_C7_92_27-D,-117.078199,46.779557,92,469.5,10.7,6.9,72.2,24,,MOISTURE OUTSIDE LIMITS |  | 
