HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainOilDM,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,ResidueMassDryPerArea,Comments
2016,WW,GPHY16_WW_C1_338_25-N_G,-117.07889104799899,46.782394548,338,283.79265091863516,,,,,,,
2016,SC,GPHY16_SC_A1_348_11-O_B,-117.084616999999,46.782636,348,357.5,,,,,,977.5,
2016,SC,GPHY16_SC_A2_349_12-O_B,-117.084198999999,46.782725,349,207.5,,,,,,853,
2016,SC,GPHY16_SC_A3_350_13-O_B,-117.08378099999899,46.782678,350,100.5,,,,,,716,
2016,SC,GPHY16_SC_A4_351_14-O_B,-117.083362999999,46.782741,351,232.5,,,,,,694,
2016,SC,GPHY16_SC_A5_352_15-O_B,-117.082918786999,46.782647626,352,100,,,,,,832.5,
2016,SC,GPHY16_SC_A5_353_16-O_B,-117.082526999999,46.782731,353,90.5,,,,,,810.5,
2016,SC,GPHY16_SC_A6_354_17-O_B,-117.08210899999899,46.782768,354,259.5,,,,,,647,
2016,SC,GPHY16_SC_B1_355_18-O_B,-117.081690999999,46.78257,355,226,,,,,,714,
2016,SC,GPHY16_SC_B2_356_19-O_B,-117.081272999999,46.782709,356,205.5,,,,,,718,
2016,SC,GPHY16_SC_B2_357_20-O_B,-117.080854999999,46.782711,357,280,,,,,,767.5,
2016,SC,GPHY16_SC_B4_358_21-O_B,-117.08041407699901,46.782556077,358,247.5,,,,,,847.5,
2016,SC,GPHY16_SC_B4_359_22-O_B,-117.080018999999,46.78283,359,317.5,,,,,,934.5,
2016,SC,GPHY16_SC_B5_360_23-O_B,-117.079600999999,46.782801,360,265,,,,,,852.5,
2016,SC,GPHY16_SC_A1_371_12-P_B,-117.084229832999,46.782965967,371,195,,,,,,731,
2016,SC,GPHY16_SC_A2_372_13-P_B,-117.08379799999901,46.782964,372,133,,,,,,784.5,
2016,SC,GPHY16_SC_A3_373_14-P_B,-117.083379999999,46.783027,373,202.5,,,,,,485.5,
2016,SC,GPHY16_SC_A4_374_15-P_B,-117.082961999999,46.782948,374,100,,,,,,772.5,
2016,SC,GPHY16_SC_A5_375_16-P_B,-117.082528268999,46.783006217,375,198,,,,,,618.5,
2016,SC,GPHY16_SC_A5_376_17-P_B,-117.08212599999899,46.783054,376,192,,,,,,813.5,
2016,SC,GPHY16_SC_B1_377_18-P_B,-117.08165032999899,46.782821323,377,345,,,,,,807.5,
2016,SC,GPHY16_SC_B1_378_19-P_B,-117.081289999999,46.782995,378,210.5,,,,,,649,
2016,SC,GPHY16_SC_B2_379_20-P_B,-117.080871999999,46.782997,379,207,50.9,,4.1,,,490.5,",Moisture outside limits"
2016,SC,GPHY16_SC_B3_380_21-P_B,-117.08045399999899,46.782853,380,203,,,,,,681,
2016,SC,GPHY16_SC_B3_381_22-P_B,-117.080035999999,46.783116,381,313,,,,,,847,
2016,SC,GPHY16_SC_A2_394_13-Q_B,-117.083909848999,46.783125849,394,139.5,,,,,,619.5,
2016,SC,GPHY16_SC_A2_395_14-Q_B,-117.083497999999,46.783313,395,187,,,,,,585.5,
2016,SC,GPHY16_SC_A3_396_15-Q_B,-117.083079999999,46.783234,396,237,,,,,,543,
2016,SC,GPHY16_SC_A4_397_16-Q_B,-117.082661999999,46.783303,397,231,,,,,,676,
2016,SC,GPHY16_SC_A4_398_17-Q_B,-117.082275455999,46.783357968,398,216,,,,,,537,
2016,SC,GPHY16_SC_A6_399_18-Q_B,-117.081825999999,46.783142,399,133.5,,,,,,478.5,
2016,SC,GPHY16_SC_A6_400_19-Q_B,-117.081407999999,46.783281,400,278.5,,,,,,711.5,
2016,SC,GPHY16_SC_B1_401_20-Q_B,-117.08098999999901,46.783283,401,278.5,48.7,,4.2,,,696.5,",Moisture outside limits"
2016,SC,GPHY16_SC_B2_402_12-Q_B,-117.08057199999899,46.783139,402,231,,,,,,698,
2016,SC,GPHY16_SC_A2_419_15-R_B,-117.083210561999,46.783457103,419,233.5,,,,,,591,
2016,SC,GPHY16_SC_A3_420_16-R_B,-117.08277087299901,46.783515324,420,241.5,,,,,,536.5,
2016,SC,GPHY16_SC_A4_421_17-R_B,-117.082366776999,46.783552314,421,135,,,,,,691,
2016,SC,GPHY16_SC_A5_422_18-R_B,-117.081932999999,46.783428,422,203,,,,,,645.5,
2016,SC,GPHY16_SC_A6_423_19-R_B,-117.081483548999,46.783552629,423,282,,,,,,693.5,
2016,SC,GPHY16_SC_A6_424_20-R_B,-117.081096999999,46.783569,424,315,,,,,,659,
2016,SC,GPHY16_SC_B1_425_21-R_B,-117.08067899999899,46.783425,425,222,,,,,,681,
