"","Source","CreationDate","Author","LastSaved","LastSavedBy","BarcodeFinal","LabelPrefix","Crop","FieldStrip","ID2Bad","Col.Row2","Column","Row2","isResidue","TotalGrain.g..bag","TareBag.g.","TotalGrain.g.","Tota.Biomass.g..bag","TareBag.g..1","TotalBiomass.g.","protein","moisture","starch","gluten","testWeight","tareWtSampleBag.g.","NOTES","Notes2","Notes3","ID2","Strip","Field","coords.x1","coords.x2"
"20","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_10_15-A","CF14GPWW","WW","","10","15-A",15,"A","",1096,19,1077,,,,11.7,8.9,70.4,31.3,48.8,,"","","",11,6,"B",-117.083334,46.778658
"22","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_11_16-A","CF14GPWW","WW","","11","16-A",16,"A","",1137,19,1118,,,,10.2,8.5,72.9,26.8,54.6,,"","","",12,6,"B",-117.08293984,46.77873108
"23","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C1_13_17-A","CF14GPSWGrn","SW","C1","13","17-A",17,"A","",537,25,512,,,,11.8,6.5,70.5,25.9,56,,"MOISTURE OUTSIDE LIMITS","","ORIGINAL SAMPLE BAG RIPPED",13,1,"C",-117.082498,46.778764
"24","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx",41964.45069,"Covered Storage",41964.48472,"Covered Storage","GPHY14_SB_C3_14_19-A","GPHY14","SB","C3","14","19-A",19,"A","",721,31,690,,,,9.9,11.3,61.9,,47.6,,"","","",14,3,"C",-117.08163216,46.77868863
"26","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx",41964.45069,"Covered Storage",41964.48472,"Covered Storage","GPHY14_SB_C3_15_20-A","GPHY14","SB","C3","15","20-A",20,"A","",705,31,674,,,,12.5,11.5,62.5,,51.1,,"","","",15,3,"C",-117.081244,46.778707
"29","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_15_22-A","CF14GPWW","WW","","15","22-A",22,"A","",1328,20,1308,,,,12.2,8.5,71.6,33,55.8,,"","","",16,4,"C",-117.080408,46.778826
"31","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A1_18_1-B","GPHY14","GB","A1","18","1-B",1,"B","",272,20,252,,,,,,,,,,"","","",18,1,"A",-117.08888012,46.77895174
"33","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A2_19_2-B","GPHY14","GB","A2","19","2-B",2,"B","",311,20,291,,,,,,,,,,"","","",19,2,"A",-117.08846626,46.77882662
"36","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A2_20_3-B","GPHY14","GB","A2","20","3-B",3,"B","",241,20,221,,,,,,,,,,"","","",20,2,"A",-117.088064,46.778867
"39","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A3_21_4-B","GPHY14","GB","A3","21","4-B",4,"B","",507,20,487,,,,,,,,,,"","","",21,3,"A",-117.087646,46.778842
"41","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A4_22_5-B","GPHY14","GB","A4","22","5-B",5,"B","",293,20,273,,,,,,,,,,"","","",22,4,"A",-117.087228,46.779015
"44","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A4_23_6-B","GPHY14","GB","A4","23","6-B",6,"B","",235,35,200,,,,,,,,,,"MOUSE DAMAGE TO ORIGINAL BAG","","",23,4,"A",-117.08683097,46.77900278
"46","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_A5_24_7-B","CF14GPSWGrn","SW","A5","24","7-B",7,"B","",548,20,528,,,,12.3,7,66.9,29.3,53.8,,"MOISTURE OUTSIDE LIMITS","","",24,5,"A",-117.086392,46.779077
"47","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_A6_25_8-B","CF14GPSWGrn","SW","A6","25","8-B",8,"B","",857,20,837,,,,10.6,6.6,74.2,24.1,58.6,,"MOISTURE OUTSIDE LIMITS","STARCH OUTSIDE LIMITS","",25,6,"A",-117.085974,46.779047
"49","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_25_9-B","CF14GPWW","WW","","25","9-B",9,"B","",1128,20,1108,,,,9.3,9.5,67.6,24.3,43,,"Starch outside limits","","",26,1,"B",-117.085556,46.778952
"51","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_26_10-B","CF14GPWW","WW","","26","10-B",10,"B","",1228,20,1208,,,,9.8,8.9,70.1,25.7,41.5,,"","","",27,2,"B",-117.08511704,46.77906282
"53","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_27_11-B","CF14GPWW","WW","","27","11-B",11,"B","",1462,19,1443,,,,10.8,9,72.3,29.1,53.2,,"","","",28,3,"B",-117.08472,46.778918
"55","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_28_12-B","CF14GPWW","WW","","28","12-B",12,"B","",929,20,909,,,,9.7,8.3,74,24.8,50.1,,"Starch outside limits","","",29,3,"B",-117.084302,46.779007
"58","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_29_13-B","CF14GPWW","WW","","29","13-B",13,"B","",1092,19,1073,,,,10.8,7.9,73.9,28.8,54.1,,"","","",30,4,"B",-117.083884,46.77896
"60","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_30_14-B","CF14GPWW","WW","","30","14-B",14,"B","",1050,19,1031,,,,10.3,8.1,73.4,27.4,51.4,,"","","",31,5,"B",-117.083466,46.779023
"63","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_31_15-B","CF14GPWW","WW","","31","15-B",15,"B","",1359,20,1339,,,,10.2,8.1,72.2,26.1,45.8,,"","","",32,6,"B",-117.083048,46.778944
"65","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_32_16-B","CF14GPWW","WW","","32","16-B",16,"B","",842,20,822,,,,12.1,8.2,65.2,31.5,40,,"","","",33,6,"B",-117.08263,46.779013
"66","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C1_34_17-B","CF14GPSWGrn","SW","C1","34","17-B",17,"B","",723,20,703,,,,11,6.5,72.5,24.4,55.7,,"MOISTURE OUTSIDE LIMITS","","",34,1,"C",-117.082212,46.77905
"67","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_C2_35_18-B","GPHY14","GB","C2","35","18-B",18,"B","",361,20,341,,,,,,,,,,"","","",35,2,"C",-117.081794,46.778852
"70","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_C2_36_19-B","GPHY14","GB","C2","36","19-B",19,"B","",584,20,564,,,,,,,,,,"","","",36,2,"C",-117.08140584,46.77900737
"72","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx",41964.45069,"Covered Storage",41964.50208,"Covered Storage","GPHY14_SB_C3_37_20-B","GPHY14","SB","C3","37","20-B",20,"B","",408,31,377,,,,14.5,12.2,58.5,,42.6,,"","","",37,3,"C",-117.080958,46.778993
"74","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_37_21-B","CF14GPWW","WW","","37","21-B",21,"B","",911,19,892,,,,11.5,8.2,71.3,31.4,53.8,,"","","",38,4,"C",-117.08054,46.778849
"77","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_38_22-B","CF14GPWW","WW","","38","22-B",22,"B","",650,20,630,,,,10.3,8.3,73.9,28,55.7,,"","","",39,4,"C",-117.080122,46.779112
"78","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C5_40_23-B","CF14GPSWGrn","SW","C5","40","23-B",23,"B","",148,20,128,,,,,,,,,,"SAMPLE TOO SMALL, MUST BE GROUND AND ANALYZED","","",40,5,"C",-117.079704,46.779083
"79","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C6_41_24-B","CF14GPSWGrn","SW","C6","41","24-B",24,"B","",851,24,827,,,,11.6,6.9,73.5,27.2,57.7,,"MOISTURE OUTSIDE LIMITS","","ORIGINAL SAMPLE BAG DAMAGED",41,6,"C",-117.079286,46.779047
"81","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A1_42_2-C","GPHY14","GB","A1","42","2-C",2,"C","",351,20,331,,,,,,,,,,"","","",42,1,"A",-117.08870619,46.77911338
"84","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A1_43_3-C","GPHY14","GB","A1","43","3-C",3,"C","",559,20,539,,,,,,,,,,"","","",43,1,"A",-117.088318,46.779153
"87","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A2_44_4-C","GPHY14","GB","A2","44","4-C",4,"C","",174,20,154,,,,,,,,,,"","","",44,2,"A",-117.0879,46.779128
"90","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A3_45_5-C","GPHY14","GB","A3","45","5-C",5,"C","",313,20,293,,,,,,,,,,"","","",45,3,"A",-117.08746351,46.77928833
"93","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A3_46_6-C","GPHY14","GB","A3","46","6-C",6,"C","",163,20,143,,,,,,,,,,"MOUSE DAMAGE","","",46,3,"A",-117.087064,46.779278
"95","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A4_47_7-C","GPHY14","GB","A4","47","7-C",7,"C","",328,20,308,,,,,,,,,,"","","",47,4,"A",-117.086646,46.779363
"97","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_A5_48_8-C","CF14GPSWGrn","SW","A5","48","8-C",8,"C","",1056,20,1036,,,,11,7,69.4,25.2,53.8,,"MOISTURE OUTSIDE LIMITS","","",48,5,"A",-117.086228,46.779333
"98","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_A6_49_9-C","CF14GPSWGrn","SW","A6","49","9-C",9,"C","",1019,20,999,,,,10,7.3,75.7,24.3,60,,"","STARCH OUTSIDE LIMITS","",49,6,"A",-117.08581,46.779238
"100","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_49_10-C","CF14GPWW","WW","","49","10-C",10,"C","",895,20,875,,,,11.7,7.9,69.1,31.3,43.4,,"","","",50,1,"B",-117.08533553,46.77932123
"101","??\Cook Farm GP HY2014 Field B C4 WW Bag Labels.xlsx",41856.34514,"Rachel Unger",41871.46667,"Covered Storage","CF14GPWW_50_11-C","CF14GPWW","WW","","50","11-C",11,"C","",,,,,,,,,,,,,"","","",51,2,"B",-117.08496351,46.77919681
"103","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_51_12-C","CF14GPWW","WW","","51","12-C",12,"C","",1085,20,1065,,,,11.8,8.5,68.2,31.2,48.5,,"","","",52,2,"B",-117.084556,46.779293
"105","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_52_13-C","CF14GPWW","WW","","52","13-C",13,"C","",1513,19,1494,,,,10.3,8.9,72.1,27.8,53,,"","","",53,3,"B",-117.084138,46.779246
"107","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_53_14-C","CF14GPWW","WW","","53","14-C",14,"C","",778,19,759,,,,13.7,9.2,62.5,37,40.8,,"","","",54,4,"B",-117.08372,46.779309
"109","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_54_15-C","CF14GPWW","WW","","54","15-C",15,"C","",1166,19,1147,,,,10.3,8.4,74.7,27.4,53.7,,"","","",55,5,"B",-117.083302,46.77923
"111","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_55_16-C","CF14GPWW","WW","","55","16-C",16,"C","",1022,19,1003,,,,11.9,8.3,70.4,31.4,51.7,,"","","",56,5,"B",-117.08290191,46.77931128
"113","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_56_17-C","CF14GPWW","WW","","56","17-C",17,"C","",1133,19,1114,,,,10.3,8.7,74.4,27.1,53.7,,"","","",57,6,"B",-117.082466,46.779336
"114","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C1_58_18-C","CF14GPSWGrn","SW","C1","58","18-C",18,"C","",721,20,701,,,,11.1,7,73.4,25.6,57.5,,"MOISTURE OUTSIDE LIMITS","STARCH OUTSIDE LIMITS","",58,1,"C",-117.082048,46.779138
"116","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_C2_59_19-C","GPHY14","GB","C2","59","19-C",19,"C","",515,20,495,,,,,,,,,,"","","",59,2,"C",-117.08160015,46.77925244
"119","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_C2_6_20-C","GPHY14","GB","C2","6","20-C",20,"C","",517,20,497,,,,,,,,,,"","","",60,2,"C",-117.081212,46.779279
"121","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx",41964.45069,"Covered Storage",41964.48472,"Covered Storage","GPHY14_SB_C3_61_21-C","GPHY14","SB","C3","61","21-C",21,"C","",872,31,841,,,,9.3,12.2,64.3,,51.6,,"","","",61,3,"C",-117.080794,46.779135
"123","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx",41964.45069,"Covered Storage",41964.48472,"Covered Storage","GPHY14_SB_C3_62_22-C","GPHY14","SB","C3","62","22-C",22,"C","",1120,31,1089,,,,11.6,12.6,62.8,,52.7,,"","","",62,3,"C",-117.08039988,46.77941847
"126","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_62_23-C","CF14GPWW","WW","","62","23-C",23,"C","",1074,19,1055,,,,12.7,8.6,69.6,34.9,59.1,,"","","",63,4,"C",-117.079958,46.779369
"127","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C5_64_24-C","CF14GPSWGrn","SW","C5","64","24-C",24,"C","",719,20,699,,,,9.2,7.1,74.5,21.4,59.9,,"","STARCH OUTSIDE LIMITS","",64,5,"C",-117.07954,46.779333
"128","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C6_65_25-C","CF14GPSWGrn","SW","C6","65","25-C",25,"C","",1172,20,1152,,,,8.7,7.2,77.7,20.2,59.6,,"MOISTURE OUTSIDE LIMITS","STARCH OUTSIDE LIMITS","",65,6,"C",-117.079122,46.779254
"129","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C6_66_26-C","CF14GPSWGrn","SW","C6","66","26-C",26,"C","",824,25,799,,,,12.4,6.7,67.7,26.9,56.1,,"MOISTURE OUTSIDE LIMITS","","ORIGINAL SAMPLE BAG RIPPED",66,6,"C",-117.07873385,46.77928646
