HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainOilDM,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,ResidueMassDryPerArea,Comments
2015,WW,GPHY15_WW_A4_1_5-A,-117.087513999999,46.778729,1,481.0531496062992,,12,4.6,69.1,22.6,,",moisture"
2015,WW,GPHY15_WW_A5_2_6-A,-117.087064549999,46.778691631,2,324.8031496062992,,14.9,3.5,67.2,29,,",moisture"
2015,WW,GPHY15_WW_A5_3_7-A,-117.086677999999,46.778791,3,376.8864829396325,,11.9,3.5,68.7,20.7,,",moisture"
2015,WW,GPHY15_WW_A6_4_8-A,-117.086259999999,46.778761,4,343.66797900262463,,13.6,4,67.8,27.1,,",moisture"
2015,SC,GPHY15_SC_B1_5_9-A,-117.085841999999,46.778666,5,195,45.5,,7.8,,,329,",empty residue bag"
2015,SC,GPHY15_SC_B2_6_10-A,-117.085418744999,46.778773209,6,179.5,44.7,,7.6,,,315,",empty residue bag"
2015,SC,GPHY15_SC_B3_7_11-A_B,-117.085005999999,46.778632,7,,,,,,,,"empty biomass bag,empty biomass bag"
2015,SC,GPHY15_SC_B3_8_12-A,-117.084587999999,46.778721,8,158.5,48.3,,6.9,,,237.5,",empty residue bag"
2015,WW,GPHY15_WW_B4_9_13-A,-117.084169999999,46.778674,9,447.01443569553805,,12.9,4.9,68.4,25.1,,",moisture"
2015,SB,GPHY15_SB_B5_10_14-A,-117.083751999999,46.778737,10,105.39698162729658,,16.2,9.5,59.5,,,",sample too small"
2015,GB,GPHY15_GB_B6_11_15-A,-117.083333999999,46.778658,11,107.85761154855642,,,,,,97.60498687664041,
2015,GB,GPHY15_GB_B6_12_16-A,-117.082939837999,46.778731076,12,86.12204724409449,,,,,,85.71194225721784,
2015,GB,GPHY15_GB_C1_13_17-A,-117.082497999999,46.778764,13,101.70603674540682,,,,,,97.60498687664041,
2015,SW,GPHY15_SW_C3_14_19-A,-117.081632159999,46.778688635,14,146.81758530183725,,13.6,10.4,66.7,35.7,,
2015,SW,GPHY15_SW_C3_15_20-A,-117.081243999999,46.778707,15,172.6541994750656,,13.4,11.2,66.2,34.8,,
2015,GB,GPHY15_GB_C4_16_22-A,-117.080407999999,46.778826,16,167.32283464566927,,,,,,144.76706036745406,
2015,GB,GPHY15_GB_C5_17_23-A,-117.079989999999,46.778797,17,289.9442257217848,,,,,,271.48950131233596,
2015,WW,GPHY15_WW_A1_18_1-B,-117.088880119999,46.778951736,18,483.51377952755905,,13.7,3.5,68.5,25.8,,",moisture"
2015,WW,GPHY15_WW_A2_19_2-B,-117.088466262999,46.778826619,19,344.0780839895013,,13.3,3.8,68.5,24.1,,",moisture"
2015,WW,GPHY15_WW_A2_20_3-B,-117.088063999999,46.778867,20,306.75853018372703,,11.7,4.4,70,23.4,,",moisture"
2015,WW,GPHY15_WW_A3_21_4-B,-117.087645999999,46.778842,21,524.524278215223,,10.8,5,70,22.3,,",moisture"
2015,WW,GPHY15_WW_A4_22_5-B,-117.087227999999,46.779015,22,473.26115485564304,,10.8,5.1,68.6,22.1,,",moisture"
2015,WW,GPHY15_WW_A4_23_6-B,-117.086830967999,46.779002779,23,503.19881889763775,,8.9,4.7,68.9,19.4,,",moisture"
2015,WW,GPHY15_WW_A5_24_7-B,-117.086391999999,46.779077,24,489.255249343832,,11.4,4.5,68.9,21.1,,",moisture"
2015,WW,GPHY15_WW_A6_25_8-B,-117.085973999999,46.779047,25,636.4829396325459,,9.9,5.2,69.2,20.9,,",moisture"
2015,SC,GPHY15_SC_B1_26_9-B,-117.085555999999,46.778952,26,235,48.8,,7.1,,,419.5,",empty residue bag"
2015,SC,GPHY15_SC_B2_27_10-B,-117.085117037999,46.779062819,27,206,48.8,,7.1,,,414,",empty residue bag"
2015,SC,GPHY15_SC_B3_28_11-B,-117.084719999999,46.778918,28,190.5,48.2,,5.8,,,345.5,",empty residue bag"
2015,SC,GPHY15_SC_B3_29_12-B,-117.084301999999,46.779007,29,177.5,49.2,,7.3,,,266.5,",empty residue bag"
2015,WW,GPHY15_WW_B4_30_13-B,-117.083883999999,46.77896,30,333.4153543307086,,11.8,5,68.3,22.2,,",moisture"
2015,SB,GPHY15_SB_B5_31_14-B,-117.083465999999,46.779023,31,234.5800524934383,,14.5,9.6,61.1,,,
2015,GB,GPHY15_GB_B6_32_15-B,-117.083047999999,46.778944,32,124.67191601049868,,,,,,132.8740157480315,
2015,GB,GPHY15_GB_B6_33_16-B,-117.082629999999,46.779013,33,78.74015748031496,,,,,,79.97047244094487,
2015,GB,GPHY15_GB_C1_34_17-B,-117.082211999999,46.77905,34,128.7729658792651,,,,,,112.77887139107611,
2015,SC,GPHY15_SC_C2_35_18-B,-117.081793999999,46.778852,35,146,,,,,,394,",nir error code 64 (030e),   2x,empty residue bag"
2015,SC,GPHY15_SC_C2_36_19-B,-117.081405840999,46.779007365,36,308,48.8,,6,,,526.5,",empty residue bag"
2015,SW,GPHY15_SW_C3_37_20-B,-117.080957999999,46.778993,37,98.01509186351706,,14.1,11.3,64.1,36.7,,",sample too small"
2015,GB,GPHY15_GB_C4_38_21-B,-117.080539999999,46.778849,38,164.4520997375328,,,,,,171.42388451443568,
2015,GB,GPHY15_GB_C4_39_22-B,-117.080121999999,46.779112,39,91.86351706036744,,,,,,80.79068241469815,
2015,GB,GPHY15_GB_C5_40_23-B,-117.079703999999,46.779083,40,52.49343832020997,,,,,,83.66141732283464,
2015,GB,GPHY15_GB_C6_41_24-B,-117.079285999999,46.779047,41,154.19947506561678,,,,,,158.71062992125982,
2015,WW,GPHY15_WW_A1_42_2-C,-117.088706187999,46.77911338,42,510.17060367454064,,12.3,3.5,68.7,21.8,,",moisture"
2015,WW,GPHY15_WW_A1_43_3-C,-117.088317999999,46.779153,43,519.6030183727033,,11.1,5.3,70.3,23.4,,",moisture"
2015,WW,GPHY15_WW_A2_44_4-C,-117.087899999999,46.779128,44,301.01706036745406,,11.2,3.9,69.3,21.2,,",moisture"
2015,WW,GPHY15_WW_A3_45_5-C,-117.087463512999,46.779288328,45,342.84776902887137,,12.3,4.2,68.7,22.4,,",moisture"
2015,WW,GPHY15_WW_A3_46_6-C,-117.087063999999,46.779278,46,387.9593175853018,,12.1,4.3,68.6,22.9,,",moisture"
2015,WW,GPHY15_WW_A4_47_7-C,-117.086645999999,46.779363,47,518.3727034120735,,10.9,4.6,68.9,21,,",moisture"
2015,WW,GPHY15_WW_A5_48_8-C,-117.086227999999,46.779333,48,506.8897637795275,,10.1,5.1,69.4,20.6,,",moisture"
2015,WW,GPHY15_WW_A6_49_9-C,-117.085809999999,46.779238,49,577.017716535433,,9.5,5.1,73.5,20.5,,",moisture,starch"
2015,SC,GPHY15_SC_B1_50_10-C_B,-117.085335527999,46.779321227,50,,,,,,,,"empty biomass bag,empty biomass bag"
2015,SC,GPHY15_SC_B2_51_11-C,-117.084963512999,46.779196811,51,228.5,49.2,,5.7,,,484.5,",empty residue bag"
2015,SC,GPHY15_SC_B2_52_12-C,-117.084555999999,46.779293,52,235,49,,6.3,,,533,",empty residue bag"
2015,SC,GPHY15_SC_B3_53_13-C,-117.084137999999,46.779246,53,294.5,49.2,,6.3,,,489.5,",empty residue bag"
2015,WW,GPHY15_WW_B4_54_14-C,-117.083719999999,46.779309,54,486.3845144356955,,13.9,4.7,67.6,31,,",moisture"
2015,SB,GPHY15_SB_B5_55_15-C,-117.083301999999,46.77923,55,298.9665354330709,,13.8,11.1,62.2,,,
2015,SB,GPHY15_SB_B5_56_16-C,-117.082901907999,46.779311277,56,351.0498687664042,,12.3,10.9,64.7,,,
2015,GB,GPHY15_GB_B6_57_17-C,-117.082465999999,46.779336,57,108.6778215223097,,,,,,91.04330708661416,
2015,GB,GPHY15_GB_C1_58_18-C,-117.082047999999,46.779138,58,121.39107611548556,,,,,,132.8740157480315,
2015,SC,GPHY15_SC_C2_59_19-C,-117.081600146999,46.779252442,59,268.5,48.2,,6.2,,,486,",empty residue bag"
2015,SC,GPHY15_SC_C2_60_20-C,-117.081211999999,46.779279,60,277,46.5,,7.4,,,280.5,",empty residue bag"
2015,SW,GPHY15_SW_C3_61_21-C,-117.080793999999,46.779135,61,279.2814960629921,,10,11.2,68.1,27.8,,
2015,SW,GPHY15_SW_C3_62_22-C,-117.080399882999,46.779418466,62,186.59776902887137,,14.8,9.6,65.9,38.5,,
2015,GB,GPHY15_GB_C4_63_23-C,-117.079957999999,46.779369,63,161.17125984251967,,,,,,182.08661417322833,
2015,GB,GPHY15_GB_C5_64_24-C,-117.079539999999,46.779333,64,180.03608923884514,,,,,,152.96916010498686,
2015,GB,GPHY15_GB_C6_65_25-C,-117.079121999999,46.779254,65,233.34973753280838,,,,,,189.46850393700785,
2015,GB,GPHY15_GB_C6_66_26-C,-117.078733845999,46.779286462,66,185.7775590551181,,,,,,174.29461942257217,
2015,GB,GPHY15_GB_C7_67_27-C,-117.078285999999,46.779271,67,129.18307086614172,,,,,,117.7001312335958,
2015,WW,GPHY15_WW_A1_68_3-D,-117.088230999999,46.779439000000004,68,292.4048556430446,,11.9,4.6,70.4,23.7,,",moisture"
2015,WW,GPHY15_WW_A2_69_4-D,-117.087812999999,46.779414,69,345.7185039370079,,9.9,4.9,69,20.8,,",moisture"
2015,WW,GPHY15_WW_A2_70_5-D,-117.087394999999,46.779587,70,369.504593175853,,13.7,13.9,65.8,34.1,764.025590551181,
2015,WW,GPHY15_WW_A3_71_6-D,-117.086976999999,46.779564,71,448.244750656168,,12,5,68.9,24.3,,",moisture"
2015,WW,GPHY15_WW_A4_72_7-D,-117.086558999999,46.779649,72,530.2657480314961,,10.7,5,69,21.4,,",moisture"
2015,WW,GPHY15_WW_A4_73_8-D,-117.086172455999,46.779636967,73,365.4035433070866,,11.8,4.5,68.7,22.3,,",moisture"
2015,WW,GPHY15_WW_A6_74_9-D,-117.085691549999,46.779509631,74,585.2198162729659,,9.8,5.4,69.5,20.6,,",moisture"
2015,WW,GPHY15_WW_A6_75_10-D,-117.085304999999,46.779642,75,574.5570866141732,,11,13.6,68.9,28.2,781.25,
2015,SC,GPHY15_SC_B1_76_11-D,-117.084886999999,46.77949,76,269,49.5,,6.2,,,480,",empty residue bag"
2015,SC,GPHY15_SC_B2_77_12-D,-117.084468999999,46.779579,77,170,48.9,,6.7,,,360.5,",empty residue bag"
2015,SC,GPHY15_SC_B3_78_13-D,-117.084050999999,46.779532,78,181,48.5,,7.6,,,350,",empty residue bag"
2015,SC,GPHY15_SC_B3_79_14-D,-117.083632999999,46.779595,79,169.5,43.9,,8,,,348.5,",empty residue bag"
2015,WW,GPHY15_WW_B4_80_15-D,-117.083214999999,46.779516,80,384.26837270341207,,13.2,5.3,68.4,30.1,,",moisture"
2015,SB,GPHY15_SB_B5_81_16-D,-117.082796999999,46.779585,81,267.7985564304462,,12.7,10.5,63.6,,,
2015,GB,GPHY15_GB_B6_82_17-D,-117.082378999999,46.779622,82,174.7047244094488,,,,,,155.4297900262467,
2015,GB,GPHY15_GB_C1_83_18-D,-117.081960999999,46.779424,83,91.04330708661416,,,,,,110.7283464566929,
2015,GB,GPHY15_GB_C1_84_19-D,-117.081542999999,46.779563,84,145.58727034120733,,,,,,127.95275590551181,
2015,SC,GPHY15_SC_C2_85_20-D,-117.081124999999,46.779565,85,226.5,47.7,,5.3,,,394,",empty residue bag"
2015,SW,GPHY15_SW_C3_86_21-D,-117.080706999999,46.779421,86,238.6811023622047,,12.7,11.2,67,33.9,,
2015,SW,GPHY15_SW_C3_87_22-D,-117.080288999999,46.779684,87,130.82349081364828,,13.4,10,67.1,35.4,,
2015,GB,GPHY15_GB_C4_88_23-D,-117.079870999999,46.779655,88,118.11023622047243,,,,,,122.62139107611549,
2015,GB,GPHY15_GB_C5_89_24-D,-117.079447018999,46.779606714,89,173.88451443569554,,,,,,163.22178477690287,
2015,GB,GPHY15_GB_C5_90_25-D,-117.079034999999,46.77954,90,145.1771653543307,,,,,,161.17125984251967,
2015,GB,GPHY15_GB_C6_91_26-D,-117.078616999999,46.779552,91,160.3510498687664,,,,,,155.01968503937007,
2015,GB,GPHY15_GB_C7_92_27-D,-117.078198999999,46.779557,92,240.7316272965879,,,,,,243.6023622047244,
2015,GB,GPHY15_GB_C8_93_28-D,-117.077780999999,46.779494,93,128.36286089238845,,,,,,105.80708661417323,
2015,GB,GPHY15_GB_C8_94_29-D,-117.077362999999,46.779658,94,138.61548556430446,,,,,,105.39698162729658,
2015,WW,GPHY15_WW_A1_95_3-E,-117.088073042999,46.77971682,95,276.4107611548556,,14.6,3.9,67.6,30.1,,",moisture"
2015,WW,GPHY15_WW_A1_96_4-E,-117.087662999999,46.7797,96,319.8818897637795,,10.3,5,71,21.4,,",moisture"
2015,WW,GPHY15_WW_A2_97_5-E,-117.087244999999,46.779873,97,382.2178477690289,,11,4,68.8,20.7,,",moisture"
2015,WW,GPHY15_WW_A3_98_6-E,-117.086826999999,46.77985,98,283.3825459317585,,13.3,4.9,68.8,30,,",moisture"
2015,WW,GPHY15_WW_A3_99_7-E,-117.086408999999,46.779935,99,560.6135170603674,,11,5.3,69.2,22.3,,",moisture"
2015,WW,GPHY15_WW_A4_100_8-E,-117.085990999999,46.779905,100,509.76049868766404,,13.2,13.7,67.2,31.7,736.5485564304462,
2015,WW,GPHY15_WW_A5_101_9-E,-117.085572999999,46.77981,101,470.8005249343832,,11.6,4.8,68.7,22.6,,",moisture"
2015,WW,GPHY15_WW_A6_102_10-E,-117.085154999999,46.779928,102,453.1660104986876,,10,5.5,69,21.2,,",moisture"
2015,SC,GPHY15_SC_B1_103_11-E,-117.084736999999,46.779776,103,192,49,,6.5,,,367,",empty residue bag"
2015,SC,GPHY15_SC_B1_104_12-E,-117.084345216999,46.779882972,104,139.5,,,,,,350.5,",nir ERROR CODE  512 (030D),empty residue bag"
