HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,Comments
2012,SL,GPHY12_SL_C6_223_30-I,-117.077046,46.780862,223,183.80743982494528,,,,,""
2012,SL,GPHY12_SL_C7_224_31-I,-117.076628,46.780986,224,229.75929978118162,,,,,""
2012,WW,GPHY12_WW_A1_225_7-J,-117.086295,46.781365,225,,,,,,""
2012,WW,GPHY12_WW_A2_226_8-J,-117.08586126,46.78132062,226,,,,,,""
2012,WW,GPHY12_WW_A3_227_9-J,-117.08543278,46.78122203,227,,11.3,8.5,73.5,30.4, | Sample note: mice
2012,WW,GPHY12_WW_A3_228_10-J,-117.085041,46.781358,228,,,,,,""
2012,WW,GPHY12_WW_A4_229_11-J,-117.084623,46.781206,229,,10.1,8.1,76.4,25.6,""
2012,WW,GPHY12_WW_A5_230_12-J,-117.084205,46.781295,230,,10,8.9,75.6,26.3,""
2012,WW,GPHY12_WW_A6_231_13-J,-117.083787,46.781248,231,,8.9,8.6,76.5,22.1, | Sample note: Mice
2012,SW,GPHY12_SW_B1_232_14-J,-117.08328225,46.78127044,232,,10.1,9,72.5,26.8,""
2012,SW,GPHY12_SW_B1_233_15-J,-117.082951,46.781232,233,,10.7,9,73,29,""
2012,SW,GPHY12_SW_B2_234_16-J,-117.082533,46.781301,234,,8.8,9.2,74,22.6,""
2012,SW,GPHY12_SW_B3_235_17-J,-117.082115,46.781338,235,,13.3,8.8,68.6,35.9,""
2012,WW,GPHY12_WW_B4_236_18-J,-117.081697,46.78114,236,,9.4,7.9,77.8,22.4,""
2012,SB,GPHY12_SB_B5_237_19-J,-117.08124367,46.78126348,237,,10.5,8.3,66.9,,""
2012,SB,GPHY12_SB_B5_238_20-J,-117.080861,46.781281,238,,10.9,9.3,67.1,,""
2012,SL,GPHY12_SL_B6_239_21-J,-117.08045495,46.78115338,239,221.55361050328227,,,,,""
2012,SL,GPHY12_SL_B6_240_22-J,-117.08011053,46.78144636,240,138.94967177242887,,,,,""
2012,SL,GPHY12_SL_C1_241_23-J,-117.079607,46.781371,241,208.4245076586433,,,,,""
2012,SW,GPHY12_SW_C2_242_24-J,-117.079189,46.781335,242,,9.2,9.5,74.2,24.3,""
2012,SW,GPHY12_SW_C3_243_25-J,-117.078771,46.781256,243,,10.1,10,72.3,27.9,""
2012,SW,GPHY12_SW_C3_244_26-J,-117.07838882,46.78129255,244,,8.9,9.4,74.3,23.2,""
2012,SL,GPHY12_SL_C4_245_27-J,-117.077935,46.781273,245,195.29540481400437,,,,,""
2012,SL,GPHY12_SL_C5_246_28-J,-117.077517,46.78121,246,,,,,,""
2012,SL,GPHY12_SL_C5_247_29-J,-117.077099,46.781374,247,173.41356673960613,,,,,""
2012,SL,GPHY12_SL_C6_248_30-J,-117.07669891,46.78116437,248,353.39168490153173,,,,,""
2012,WW,GPHY12_WW_A1_249_9-K,-117.085864,46.781526,249,,10.8,8.3,74.8,28.5, | Sample note: mice
2012,WW,GPHY12_WW_A2_250_10-K,-117.085446,46.781644,250,,10.2,8.3,76.3,26.1,""
2012,WW,GPHY12_WW_A3_251_11-K,-117.085028,46.781492,251,,12.3,8.6,72,33.3, | Sample note: mice
2012,WW,GPHY12_WW_A4_252_12-K,-117.08457853,46.78155584,252,,10.2,8.1,75.7,25.7,""
2012,WW,GPHY12_WW_A4_253_13-K,-117.084192,46.781534,253,,,,,,""
2012,WW,GPHY12_WW_A5_254_14-K,-117.083774,46.781597,254,,10.4,8.3,76.1,26.6,""
2012,WW,GPHY12_WW_A6_255_15-K,-117.083356,46.781518,255,,9.9,8.2,76.3,25.7, | Sample note: Mice
2012,SW,GPHY12_SW_B1_256_16-K,-117.082938,46.781587,256,,12,8.8,70.7,32.3,""
2012,SW,GPHY12_SW_B1_257_17-K,-117.08252,46.781624,257,,9.9,9.2,74,27.1,""
2012,SW,GPHY12_SW_B3_258_18-K,-117.082102,46.781426,258,,10.8,9,72.3,29.1,""
2012,SW,GPHY12_SW_B3_259_19-K,-117.081684,46.781565,259,,9.3,9.2,73.9,24.6,""
2012,WW,GPHY12_WW_B4_260_20-K,-117.081266,46.781567,260,,9.7,8.2,76.7,24.3,""
2012,SB,GPHY12_SB_B5_261_21-K,-117.080848,46.781423,261,,10.1,9.2,66.7,,""
2012,SB,GPHY12_SB_B5_262_22-K,-117.08043,46.781686,262,,10.7,9.3,67.2,,""
2012,SL,GPHY12_SL_B6_263_23-K,-117.080012,46.781657,263,224.835886214442,,,,,""
2012,SL,GPHY12_SL_C1_264_24-K,-117.079594,46.781621,264,245.62363238512035,,,,,""
